territory_code_full,territory_code_numeric,territory_code_ine,name,level,level_code,parent_code,parent_code_numeric,parent_name,district_code,district_name,region
LOCAL-110700,110700,110700,Loures,concelho,6,LOCAL-110000,110000,Lisboa,LOCAL-110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110800,110800,110800,Lourinhã,concelho,6,LOCAL-110000,110000,Lisboa,LOCAL-110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110900,110900,110900,Mafra,concelho,6,LOCAL-110000,110000,Lisboa,LOCAL-110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-111600,111600,111600,Odivelas,concelho,6,LOCAL-110000,110000,Lisboa,LOCAL-110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-111000,111000,111000,Oeiras,concelho,6,LOCAL-110000,110000,Lisboa,LOCAL-110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-111100,111100,111100,Sintra,concelho,6,LOCAL-110000,110000,Lisboa,LOCAL-110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-111200,111200,111200,Sobral de Monte Agraço,concelho,6,LOCAL-110000,110000,Lisboa,LOCAL-110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-111300,111300,111300,Torres Vedras,concelho,6,LOCAL-110000,110000,Lisboa,LOCAL-110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-111400,111400,111400,Vila Franca de Xira,concelho,6,LOCAL-110000,110000,Lisboa,LOCAL-110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-310100,310100,310100,Calheta,concelho,6,LOCAL-300000,300000,Madeira,LOCAL-300000,Madeira,Região Autónoma da Madeira
LOCAL-310200,310200,310200,Câmara de Lobos,concelho,6,LOCAL-300000,300000,Madeira,LOCAL-300000,Madeira,Região Autónoma da Madeira
LOCAL-310300,310300,310300,Funchal,concelho,6,LOCAL-300000,300000,Madeira,LOCAL-300000,Madeira,Região Autónoma da Madeira
LOCAL-310400,310400,310400,Machico,concelho,6,LOCAL-300000,300000,Madeira,LOCAL-300000,Madeira,Região Autónoma da Madeira
LOCAL-310500,310500,310500,Ponta do Sol,concelho,6,LOCAL-300000,300000,Madeira,LOCAL-300000,Madeira,Região Autónoma da Madeira
LOCAL-310600,310600,310600,Porto Moniz,concelho,6,LOCAL-300000,300000,Madeira,LOCAL-300000,Madeira,Região Autónoma da Madeira
LOCAL-320100,320100,320100,Porto Santo,concelho,6,LOCAL-300000,300000,Madeira,LOCAL-300000,Madeira,Região Autónoma da Madeira
LOCAL-310700,310700,310700,Ribeira Brava,concelho,6,LOCAL-300000,300000,Madeira,LOCAL-300000,Madeira,Região Autónoma da Madeira
LOCAL-310800,310800,310800,Santa Cruz,concelho,6,LOCAL-300000,300000,Madeira,LOCAL-300000,Madeira,Região Autónoma da Madeira
LOCAL-310900,310900,310900,Santana,concelho,6,LOCAL-300000,300000,Madeira,LOCAL-300000,Madeira,Região Autónoma da Madeira
LOCAL-311000,311000,311000,São Vicente,concelho,6,LOCAL-300000,300000,Madeira,LOCAL-300000,Madeira,Região Autónoma da Madeira
LOCAL-120100,120100,120100,Alter do Chão,concelho,6,LOCAL-120000,120000,Portalegre,LOCAL-120000,Portalegre,Alentejo
LOCAL-120200,120200,120200,Arronches,concelho,6,LOCAL-120000,120000,Portalegre,LOCAL-120000,Portalegre,Alentejo
LOCAL-120300,120300,120300,Avis,concelho,6,LOCAL-120000,120000,Portalegre,LOCAL-120000,Portalegre,Alentejo
LOCAL-120400,120400,120400,Campo Maior,concelho,6,LOCAL-120000,120000,Portalegre,LOCAL-120000,Portalegre,Alentejo
LOCAL-120500,120500,120500,Castelo de Vide,concelho,6,LOCAL-120000,120000,Portalegre,LOCAL-120000,Portalegre,Alentejo
LOCAL-120600,120600,120600,Crato,concelho,6,LOCAL-120000,120000,Portalegre,LOCAL-120000,Portalegre,Alentejo
LOCAL-120700,120700,120700,Elvas,concelho,6,LOCAL-120000,120000,Portalegre,LOCAL-120000,Portalegre,Alentejo
LOCAL-120800,120800,120800,Fronteira,concelho,6,LOCAL-120000,120000,Portalegre,LOCAL-120000,Portalegre,Alentejo
LOCAL-120900,120900,120900,Gavião,concelho,6,LOCAL-120000,120000,Portalegre,LOCAL-120000,Portalegre,Alentejo
LOCAL-121000,121000,121000,Marvão,concelho,6,LOCAL-120000,120000,Portalegre,LOCAL-120000,Portalegre,Alentejo
LOCAL-121100,121100,121100,Monforte,concelho,6,LOCAL-120000,120000,Portalegre,LOCAL-120000,Portalegre,Alentejo
LOCAL-121200,121200,121200,Nisa,concelho,6,LOCAL-120000,120000,Portalegre,LOCAL-120000,Portalegre,Alentejo
LOCAL-121300,121300,121300,Ponte de Sor,concelho,6,LOCAL-120000,120000,Portalegre,LOCAL-120000,Portalegre,Alentejo
LOCAL-121400,121400,121400,Portalegre,concelho,6,LOCAL-120000,120000,Portalegre,LOCAL-120000,Portalegre,Alentejo
LOCAL-121500,121500,121500,Sousel,concelho,6,LOCAL-120000,120000,Portalegre,LOCAL-120000,Portalegre,Alentejo
LOCAL-130100,130100,130100,Amarante,concelho,6,LOCAL-130000,130000,Porto,LOCAL-130000,Porto,Norte
LOCAL-130200,130200,130200,Baião,concelho,6,LOCAL-130000,130000,Porto,LOCAL-130000,Porto,Norte
LOCAL-130300,130300,130300,Felgueiras,concelho,6,LOCAL-130000,130000,Porto,LOCAL-130000,Porto,Norte
LOCAL-130400,130400,130400,Gondomar,concelho,6,LOCAL-130000,130000,Porto,LOCAL-130000,Porto,Norte
