territory_code_full,territory_code_numeric,territory_code_ine,name,level,level_code,district_code,district_name,municipality_code,municipality_name,parish_code,parish_name,region
LOCAL-080100,080100,80100,Albufeira,concelho,6,LOCAL-080000,Faro,LOCAL-080100,Albufeira,,,Algarve
LOCAL-080200,080200,80200,Alcoutim,concelho,6,LOCAL-080000,Faro,LOCAL-080200,Alcoutim,,,Algarve
LOCAL-080300,080300,80300,Aljezur,concelho,6,LOCAL-080000,Faro,LOCAL-080300,Aljezur,,,Algarve
LOCAL-080400,080400,80400,Castro Marim,concelho,6,LOCAL-080000,Faro,LOCAL-080400,Castro Marim,,,Algarve
LOCAL-080500,080500,80500,Faro,concelho,6,LOCAL-080000,Faro,LOCAL-080500,Faro,,,Algarve
LOCAL-080600,080600,80600,Lagoa,concelho,6,LOCAL-080000,Faro,LOCAL-080600,Lagoa,,,Algarve
LOCAL-080700,080700,80700,Lagos,concelho,6,LOCAL-080000,Faro,LOCAL-080700,Lagos,,,Algarve
LOCAL-080800,080800,80800,Loulé,concelho,6,LOCAL-080000,Faro,LOCAL-080800,Loulé,,,Algarve
LOCAL-080900,080900,80900,Monchique,concelho,6,LOCAL-080000,Faro,LOCAL-080900,Monchique,,,Algarve
LOCAL-081000,081000,81000,Olhão,concelho,6,LOCAL-080000,Faro,LOCAL-081000,Olhão,,,Algarve
LOCAL-081100,081100,81100,Portimão,concelho,6,LOCAL-080000,Faro,LOCAL-081100,Portimão,,,Algarve
LOCAL-081300,081300,81300,Silves,concelho,6,LOCAL-080000,Faro,LOCAL-081300,Silves,,,Algarve
LOCAL-081200,081200,81200,São Brás de Alportel,concelho,6,LOCAL-080000,Faro,LOCAL-081200,São Brás de Alportel,,,Algarve
LOCAL-081400,081400,81400,Tavira,concelho,6,LOCAL-080000,Faro,LOCAL-081400,Tavira,,,Algarve
LOCAL-081600,081600,81600,Vila Real de Santo António,concelho,6,LOCAL-080000,Faro,LOCAL-081600,Vila Real de Santo António,,,Algarve
LOCAL-081500,081500,81500,Vila do Bispo,concelho,6,LOCAL-080000,Faro,LOCAL-081500,Vila do Bispo,,,Algarve
LOCAL-090100,090100,90100,Aguiar da Beira,concelho,6,LOCAL-090000,Guarda,LOCAL-090100,Aguiar da Beira,,,Centro
LOCAL-090200,090200,90200,Almeida,concelho,6,LOCAL-090000,Guarda,LOCAL-090200,Almeida,,,Centro
LOCAL-090300,090300,90300,Celorico da Beira,concelho,6,LOCAL-090000,Guarda,LOCAL-090300,Celorico da Beira,,,Centro
LOCAL-090400,090400,90400,Figueira de Castelo Rodrigo,concelho,6,LOCAL-090000,Guarda,LOCAL-090400,Figueira de Castelo Rodrigo,,,Centro
LOCAL-090500,090500,90500,Fornos de Algodres,concelho,6,LOCAL-090000,Guarda,LOCAL-090500,Fornos de Algodres,,,Centro
LOCAL-090600,090600,90600,Gouveia,concelho,6,LOCAL-090000,Guarda,LOCAL-090600,Gouveia,,,Centro
LOCAL-090700,090700,90700,Guarda,concelho,6,LOCAL-090000,Guarda,LOCAL-090700,Guarda,,,Centro
LOCAL-090800,090800,90800,Manteigas,concelho,6,LOCAL-090000,Guarda,LOCAL-090800,Manteigas,,,Centro
LOCAL-090900,090900,90900,Mêda,concelho,6,LOCAL-090000,Guarda,LOCAL-090900,Mêda,,,Centro
LOCAL-091000,091000,91000,Pinhel,concelho,6,LOCAL-090000,Guarda,LOCAL-091000,Pinhel,,,Centro
LOCAL-091100,091100,91100,Sabugal,concelho,6,LOCAL-090000,Guarda,LOCAL-091100,Sabugal,,,Centro
