territory_code_full,territory_code_numeric,territory_code_ine,name,level,level_code,parent_code,parent_code_numeric,parent_name,municipality_code,municipality_name,district_code,district_code_numeric,district_name,region
LOCAL-011903,011903,011903,Cepelos,freguesia,7,LOCAL-011900,011900,Vale de Cambra,LOCAL-011900,Vale de Cambra,LOCAL-010000,010000,Aveiro,Centro
LOCAL-011905,011905,011905,Junqueira,freguesia,7,LOCAL-011900,011900,Vale de Cambra,LOCAL-011900,Vale de Cambra,LOCAL-010000,010000,Aveiro,Centro
LOCAL-011906,011906,011906,Macieira de Cambra,freguesia,7,LOCAL-011900,011900,Vale de Cambra,LOCAL-011900,Vale de Cambra,LOCAL-010000,010000,Aveiro,Centro
LOCAL-011907,011907,011907,Roge,freguesia,7,LOCAL-011900,011900,Vale de Cambra,LOCAL-011900,Vale de Cambra,LOCAL-010000,010000,Aveiro,Centro
LOCAL-011902,011902,011902,São Pedro de Castelões,freguesia,7,LOCAL-011900,011900,Vale de Cambra,LOCAL-011900,Vale de Cambra,LOCAL-010000,010000,Aveiro,Centro
LOCAL-011910,011910,011910,"Vila Chã, Codal e Vila Cova de Perrinho",freguesia,7,LOCAL-011900,011900,Vale de Cambra,LOCAL-011900,Vale de Cambra,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010103,010103,010103,Aguada de Cima,freguesia,7,LOCAL-010100,010100,Águeda,LOCAL-010100,Águeda,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010122,010122,010122,Barrô e Aguada de Baixo,freguesia,7,LOCAL-010100,010100,Águeda,LOCAL-010100,Águeda,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010123,010123,010123,"Belazaima do Chão, Castanheira do Vouga e Agadão",freguesia,7,LOCAL-010100,010100,Águeda,LOCAL-010100,Águeda,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010109,010109,010109,Fermentelos,freguesia,7,LOCAL-010100,010100,Águeda,LOCAL-010100,Águeda,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010112,010112,010112,Macinhata do Vouga,freguesia,7,LOCAL-010100,010100,Águeda,LOCAL-010100,Águeda,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010127,010127,010127,Préstimo e Macieira de Alcoba,freguesia,7,LOCAL-010100,010100,Águeda,LOCAL-010100,Águeda,LOCAL-010000,010000,Aveiro,Centro
